text	label
toto means ass or vagina i think pussy cause toto santi is like nasty pussy	1
but what if he actually does choose the ugly bitch over you her ass must be fat	1
bitch couldn t kill my vibe if ya tried dis why i love miley	1
i m tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody	1
birds your grandkids may never see thanks to climate change climate	2
stay beautiful you bitch	1
wutkinda r purple ceeeleee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls	1
money getting taller and bitches getting blurry	1
i ain t never seen a bitch so obsessed with they nigga i m obsessed with mine	1
kobe stay talking trash but let s not forget i meant to do this one smh	1
at least i m not a nigger lmfao	0
people always asking me what i m mixed with she a bad asian bitch lol	1
ariza is a snake and a coward but at least he isn t a cripple like your hero roach lmaoo	0
fosters home for imaginary trash whoa chill that show was everything tf	2
i am lowkey tired if you tired be quiet and go to sleep hoe	1
stop bringing weird niggers into my mentions	1
we don t love these hoes	1
if yo girl cant have homeboys you a ol weak bitch ass nigga	1
i think worst advice i gave you was don t be a pussy and speed up lol	1
quote this tweet with your favorite animal pussy	1
i hate when strippers tell you they re dancers hoe ballet dancers don t pop their pussy to beethoven you a stripper	1
andrewbryant poff has double vision after beers poff double pussy smh	1
when bitches twerk on the computer me in ya in ya damn	1
prince this is art nobody takin his bitch	1
of welfare government aid is claimed by white people so y all black slander is trash now	2
these bitches don t care they just play that role	1
it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro	1
drakes new shoes that will be released by nike jordan yes there s glitter on the shoes dudes a fag	0
inna di ghetto you alone lmaoo	2
hoes austin teach us austin i teach u how to get curved that s all i know	2
bitches can t cook but know how to suck dick s o to the ones that can do both	1
fat hoes get chose lol	1
hoesaintloyal well they re hoes no one expects them to be loyal	1
ol bitch ass	1
bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo	1
just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you	1
holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing	1
i don t want to have sex with my gf because i feel like i m using her anonymous whata faggot	1
one of your followers with this somebody bitch if you don t	1
if ya bitch always bitching clearly she care or just an annoying bitch	1
these catfish hoes thinkin they slick but niggas catching on	1
can t worry about a bitch that ain t worried bout me real	1
side hoes are for insecure niggas that can t handle a real one	1
rt lmao this bitch come scooting in the tent like she about to fuck some shit up	1
my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers	1
i m hungry but ionn wanna spend my money on food broke hoe problems	1
dese hoes be lyin to all of us nigga	1
oh yeah fuck that bitch	1
eli manning just threw his nfl leading th interception of the season lmao trash	2
usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team he s a bitch	2
guess what i also have zero time for your mansplaining adios stfu pussy	1
chilling sexy scally lad	2
i ain t sharing no bitch if you mines you mines	1
money only impress the simple broke bitches	1
pisces will never be anybody s bitch they don t let people control or change them rigghhht	1
tuku ho idk blah blah blah	2
i m not mad cuh hahaha suure tuku ho ita	2
these hoes is crazy	1
you ain t ever gonna be a slice bitch kevin hart	1
oomf so fuckin fine tho dam her don t be no bitch	1
i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags	1
newsatquestions yeah bitch yeah bitch call me a maybe b steve o c later d jesse pinkman	1
hickies in between her thighs right by her pussy gt gt gt its only right	1
would you still love me when i m no longer young and beautiful no ugly monkey ass	1
y all come through the front bitch i ain t coming	1
faggot bitch	1
yea i m on my ipad i don t work this friday let s ball this faggot up i work	1
this scally lad would get it	2
gerryshalloweenparty halloween was yesterday stupid nigger	0
chrus still supahot tho walks up to teacher with test drops test in that bitch fohead	1
i love eating pussy lol i never get full lol i can eat that shit forever lol and ever	1
no slushes hoes nasty anyway fam them hoes taste like meds	1
no slushes hoes nasty anyway fam	1
bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout	1
yo bitch is gucci manemy bitch a stoner	1
i can ride your bitch with no handle bars	1
and if you ain t a hoe get up out my traphoussseeeee	1
sad tv character deaths we re still bitter over stark was the man	2
these harbor bitches are all party bus hoes lol all	1
pussy love it	1
ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo	1
on my way to fuck your bitch lmfao kittycopter	1
a smuggler explains how he helped fighters along the jihadi highway	2
aww their avis look so cute together do i gotta get ike avi on this bitch	1
its simple dont be a hoe dont worry about being exposed fight me why	1
whys this bitch boosting herself her size isn t exactly the most healthy tho	1
bet not be no bitches kim bye	1
damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco	1
i m making marack my girlfriend aye b you pullin hoes just like o taught you	1
bruno fag boy you love me	1
i must be a bitch you are sike naw this why we always beefing	1
down yankees look to rally in the bottom of the th rallycap	2
don t take advantage of a nice person hoes everyjuan	1
happy birthday bitch nigga thanks pal	1
sad knowing that most hoes won t fuck with you bc you ain t got stacks wait till friday	1
cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca	1
ewww i said that last sunday as in the last sunday i was there read it again nigs	1
i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake	1
my pussy still fresh lt something stank girls say	1
ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week	1
yeah texans are so much better you fucking retard i see that you re mad about this	1
nd wtf is up with dark bitches with blonde please have several seats hoe looking like black amp milds out here	1
there s a lane some bitches need to stay in the left n get right the fuck outta our face	1
i hate when boys deny that they have bitches smh	1
ya nigs out there still saying y all don t eat butt with a straight face	1
im a boss ass bitch that needs to sit in a corner	1
he s a hoe i can t	1
me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets	1
bitches hold they nigga down when he get locked up but if a nigga go to college or the military it s a different story	1
why do my friends hate me because you a ratchet hoe	1
no love for these fuck niggas hoes	1
hot meat sexy as fuck scally lad i would love to meet him and his trainers	1
sniff perved up scally lad fuck yeah	1
these bitches love sosa	1
i legit watched it for about or seconds so did i wtf prob cause were retarded smh	1
what should i name my cat ideas mr pussy	1
woof woof sexy thug boy scally	1
u see the damn phone ringing when you married bitches makes demands you haven t called me	1
tevin is my favorite sophomore i think he s so funny hes really not lmaoo hes a little hoe	1
sex positions this what u call fucking the soul outta bitch	1
is bored supposed to be cute you faggot sometimes	0
one mans trash is another mans treasure	2
i don t got no type bad bitches is the only thing i like iongotnotype	1
lassen cc the coach wants me i feel it youll get more my nig no doubt	0
god teeth gold chain white bitches cocaine	1
its me hoe its me hoe shhhhh	1
in d c we call them rollers in chiraq we call them thots all across america they have been known as a hoe	1
i m gonna miss that bitch of a bus driver no you won t don t lie	1
hate when bitches try and put you in the friendzone bitch i m tryin to score put me in the endzone on my soul	1
ashley young has tried to deny that bird s landed in his mouth gt hahaha	2
yall both gimped up ain t tht a bitch huh lol	1
take me for a ride woof woof	2
oh my god i love victoria mitchell all my bitches love me	1
that long distance shit wack i knew the bitch was cheating uh oh	1
he s doing it right no bitches smh	1
they ban dat pussy for life amp he gotta pay millon dollar fine	1
roses are red and violets are blue and niggers are black you know that s true	1
sitting on my window sill window open bird tries to fly in smacked it protecttheanimals	2
but a nigga gon be a nigga be a nigga you sound fuckin retarded	1
a video an entire media will likely mock i am such a crybaby	2
i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup	1
tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh	1
karma is a bitch damn godprotectshisangels sips tea	1
fuckin hot gym pussy fuck yeah	1
jihadi patron hajjaj al ajmi is arrested at kuwait airport	2
you can call me fireman cause i turn the hoes on	1
i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god	1
watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that	1
and smoke weed in public fuck cops man do what you wanna do they don t own you run if they come are you retarded	1
tweety bird tho	2
my pussy sweet like watermelon thotermelon	1
when twitter rappers dm me their trash links	2
loud bitches annoy me	1
eventually every bitch turns into that hoe truuu	1
i swear if oomf try talking to me tomorrow pussy	1
you bitches be pretending to be tf crazy you ain t never lied	1
k bye hoe um bye	1
jackies a retard blondeproblems at least i can make a grilled cheese	0
ima keep on giving these pussy ass niggas ah reason to hate	1
photo he is in sole heaven	2
stacey dash won baddest bitch evaaaa	0
side bitch sunday	1
facts what baldheaded bitch made this shit lmao	1
fuck wit us and then we tweakin hoe shmurda	1
we actin like it s the th day spook	2
i ll break that lil bitch neck and won t even feel sorry about it savage	1
this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies	1
y all dumb ass niggas be so pressed to have hoes y all weak as fuck as fuck weed over hoes oreos too	1
i can turn yo bitch into a eaterrrrrrrrr	1
i don t trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn	1
aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard	1
now u got what u want bitch enjoy it now this is a crazy party i would love to attend	1
colored contacts in your eyes blinders on mine cause i can t see you at all lmao	2
facts only the dudes with hoes say they don t got hoes	1
i m rea start smacking bitches period bluffin at its best	1
lifes a bitch and then you die thats why we get high cause you neva know when you re gonna go my sister is perfect	1
one of us is on drugs and its me but you re still wrong hahahahahahah im a bitch sometimes	1
i m feeling pretty fuckin ghetto smh	1
swears i m man easily easily behind austin nip	2
this is a true ride or die bitch what the fuck hahahahah	1
h g wells and charlie chaplin history photography	2
all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice	1
i m about to cool faggot chill tf is cool nigga	1
i m so sure bitch frfr tf	1
twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet	1
got a couple bitches saying they know me but i ma let the money talk for me and i m like wwyd	1
grudges are for weirdos and bitches	1
i told mariam to but cigarettes for her birthday you also called me trash rn	2
brownies tonight what kind	2
no text back i don t give a fuck i ll text another bitch damn someone is hurt lol	1
ummmmmm okay you got hoes from left to right do yah thang	1
using y mx b to find the slope of that ass	1
fit lads nice gear these scally lads n trainers would get it	2
hell yeah bro fuck yeah sexy scally lad in hot gear	1
helping out a mate i love scally play fuck yeah	1
lads being lads fuck yeah i love scally lad action hot trainers too	1
next year bitches is gonna be like you gotta promise you won t expose me	1
so hotlick it bitch fuck yeah eat that trainer u dirty fucker	1
y all think celebrity pussy different from the locals yeah meghan goods is	1
i saw an ajumma walk out in the beginning saying wow this is so trash that i can t even listen to it lmaoo	2
need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks	1
i don t ever expose females like that that s childish bitch nigga shiiii	1
yasss trys new things with bestfriend bitch who do you love	1
dude remember this wop video omg where did you find that	2
thick raw fuck damn his man pussy is getting a workout	1
rawrmy sexy french scally i love him frenchscally sexy scally woof woof	2
nothin in life is free some of you bitches need to write that on ya panties	1
if one of you bitches want some of my burrito u can catch me at potosino huh haha	1
niggas whole hoes out here cuz couldn t had said it better	1
hardcore way to eat mac and cheese boil water snort cheese powder drink boiling water fuck bitches	1
yourenotmytype if my fade is perpetually fresher than yours that s a real ass bitch rite there	1
annoying bitch that i love judyann s so pretty	1
lmao bitch got on some huggies	1
hi bitch no bitch bye bitch	1
does he look like a bitch	1
chase money not hoes	1
can t stand a i don t know what i want ass nigga bitch	1
i m on my way love a chav hot sexy scally fucker	1
these newly gay bitches don t kno how shit works	1
when a bitch don t want a real job they just become strippers lol lol	1
awww meat meat in his feelins i ainn n my feelings bitch	1
i want snake bites my industrial piercin amp a tattoo dem hoe accessories dea	1
baby albino	2
these hoes ain t loyal	1
yassssss ordered chinese bitch you just ate tacos you fat fuck	1
i made that bitch lunch bitches love lunch	1
a no brainer but as soon as this bitch gets rich in political power her views will change political whores	1
a pussy a day keeps the devil away	1
ain t that about a bitch what does that mean	1
all these bitches want a baby i don t want no children	1
and bitch you must be lost	1
baby i like being on your left side no bitch you can t be there cuz the street on that side and twitter said i ain t real if you do	1
bae sounds like such a ghetto word use something else	2
batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls i ve nailed ive moved on stop being a pussy n do it urself	1
bleed out hoe alexa	1
boolin in the bando wit a few bitches	1
brownies for my brownie i love this movie	2
but i need a bad bitch that s hotter than me might be the realist shit partynextdoor ever said that s how i be feelin everyday	1
by the way we do punch bitches	1
caesar is homeso much this bitch looks like lets start with ape shit	1
chinese maverick we were communicating comrade u know giving the imperialist yanks the birdie	2
dad say hi to my snapchat dad duces bitch	1
do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunch these hoes	1
don t know no ugly bitches don t know no broke niggas	1
don t make me make you fall in live with a nigga like meee the birds amp are my favorite songs by weeknd	1
don t worry about the nigga you see worry about the nigga you don t see dat s da nigga fuckin yo bitch	0
don t you ever give my pussy away you keep it tight alright	1
dropped a stack cause bitch i m on song called dope download the mixtape here	1
dumb bitches do dumb things	1
eat the pussy like a real nigga hungry	1
eff it let s go after the cripple	1
everything look better with a bitch next to it	1
facto who cares if you a hoe when your ass looks like this	1
for every bad bitch there is a nigga tired of fucking her	1
foreign chick no lie man that bitch beautiful	1
fresh nigga so you kno i need a clean bitch who kno i m working cuz i wanna see my team rich	1
fuck i make my own rules suck my dragon balls bitch call me goku	1
generate ascii boxes with nodejs all i see is the ability to bring flappy bird in node via ascii tubes and bird	2
get me that shit bitch you is fine bear	1
get your ass back to detroit ya fuckin wigger	1
girls that i dated its okay i ain t mad yo unless you stabbed me in the heart no love hoe	1
how do you know my twitter password bitch please	1
have you seen my shows have you seen my hoes if i wasn t hot would they be so thick	1
he a bitch for hitting that hoe	1
he married to a white woman lucky sum bitch uncle ruckus	1
he wanna be my nigga but i m just trinna be his savings account omg imma funny ass bitch man but that s real shit	1
her great grandmas a hoe her grandmas a hoe her moms and a hoe and she s a hoe it s a long line of hoes grandpa carl everyone	1
hey go look at that video of the man that found the kidnapped girls in ohio what a nigger shitmybosssays	0
hey pussy you still there	1
how about we draft all those gung ho folks and send them to afghanistan or other war zones so they can show their	2
how hotter than is it a bitch	1
how u talking to hoes bout bro n em why you talking to hoes bout bro n em	1
how you doing crazy bitch is hilarious	1
i know my shoes dirty as fuck whatever bitch you don t have to call like negro one of the first things they look at is shoes dog	1
i am a thrill billy with a hillbilly heart hahahahaha jesus murphy	2
i call him my bitch	1
i can t handle no liquor but these bitches can t handle meeedd chief sosa	1
i don t chase after dudes i chase after bitches edgar bautista	1
i don t love these hoes baby it s me and you forever	1
i dont even need a picture of tamar that bitch is beat in every picture	1
i dont have hoes	1
i found a new way to chug you have to open your mouth alot shitallysays	2
i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her	1
i got a bitch set it off like jada picket queen latifah you riding round with your nieces bitch you titi	1
i got a sister she told me stop calling women bitches	1
i guess this is the night bitches die stewie is that nigga	1
i had a bitch that had a bitch had the bitch eating halibut freshrhymes jerksquad slowstir	1
i have this lady love she s married but i still wanna bang her she won t have sex with me what a bitch a troubadour probably	1
i heard you was looking for candy man bitch	1
i hope you don t get mad ladies i only call you bitches bitches bc i don t know your names individually katt williams	1
i just got a number i m a bitch boy	1
i know that shit eatin grin you either just fucked the girl of your dreams or you sold a car we know you re a faggot what d you sell	1
i only be with older men cause they re more mature that supposed to fool us bitch	1
i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand	1
i said i don t like it it tastes like wolf pussy what how do you even know what that tastes like	1
i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair name the movie	1
i used to dress up like a cop too oh really yeah right after mad pussy really yes i ll never forget	1
i went to jail for a flock amp came home wit a strike you went to jail as a bitch came home as a dike	1
i will fuck u where u stand u dizzy bitch two unique amp separate phrases i overheard a relative saying when i was younger	1
i woke up like thi bitch go back to bed	1
i would rather you call me bitch than sir my manager	1
i ll beat on that pussy so hard	1
i ll slit your throat neck	2
i m a funky ass honkey s shout out to tonight before cabaret jt tour	1
i m comparing kfc to the pussy	1
i m downloading you a new personality and ordering you a new face you bitch i love you goddamn it axl rose yelling at his sex robot	1
i m feelin like malcolm in the middle these bitches surround me they can t miss em	1
i m gonna piss on your dimple stop wasting prayers on trash teams lol	1
i m probably your main bitch chocolate dipped cinnamon apple	1
i m sick of his shit man sit his bitch ass i m fed up brogeno threw yet another pick smh	1
i m sorry i fucked yo bitch but she really dig a nigga	1
ibs irritable bitch syndrome	1
if you love her then hide yo bitch so you ll keep shorty	1
if you talk back to me you ain t getting no pussy me	1
if you re a bad bitch put your hands up high every girl in the room starts waving there hands around	1
imma tie that bitch up in the basement and donkey fuck her ass for two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct	1
in my mind gotta be the dumb hoe anthem	1
is that an albino mexican no dad he s asian	2
it takes a true directioner to accept larry you know what bitch its fans like you that make the boys cry thankyoupaulforconfirminglarry	1
it s allegations were u in the bedroom did u see it words of a naive amp blind bitch we know ur husband cheated on u ramona is dumb	1
it s never too late to tag a bitch	1
it s the dykes hunter dyke with a dyke	1
julia roberts you re a ho nottinghill	1
just follow the yellow brick twitter	2
lmfaoooooooooooooooooo if your pussy is good but my mama don t like you guess who gotta go my mama	1
lol cripple wendy davisscientists create remote controlled chick to study shy penguins	2
let s do nips ahoy and spank me maybe	1
let s kill cracker babies wtf did i just hear wow	0
like correct me if i m wrong but doesn t pimpin involve smackin bitches for money	1
lmaopound cake look like pussy	1
lmao the d rose adidas are lighter than my phone shit is retarded	1
mam ren e doet in haar rol net of ze ongesteld is wat is ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit	2
maybe she wants to be more than your friend or maybe she s a stupid bitch you never know until you make her cum	1
mine plays dmx and kirk franklin smh well my neighbors are ghetto they get up at like am and beat their kids	2
my grandma used to call me a porch monkey all the time come to think of it she did refer to a broken bottle as a nigger knife	0
my momma told me to tell you to mind yoooo damn motha fuckin business you not knowin what it is bitch	1
my nips are freeeeezing and that s not okay because they re slicing through my bra	1
my twitter was hacked i m too pussy to admit that i said it and now i want to act like i never said it	1
nah girl i ain t gon be able to make it it s been tight since russ loss his job you in the back like damn bitch really	1
nah its you yo i thought some photoshopped my face on that faggot smmfh i hate yall	0
new flame the song of the yr lol that bitch super run like	1
niggas always yelling fuck bitches get money meanwhile they re broke and still want the bitches	1
niggas be pressed for pussy eeeeeen nothin	1
no bitches nan	1
no boats and hoes please thanks mom	1
ovo amp kendrick lamar still trash	2
on top of that she just a pregnant ass sorry hoe aint never got no money even her water broke riptallt	1
only a couple of red sox have gotten past first base i m dying laughing maybe the yanks need to teach them some game	2
